year,method,hac_lag,hac_prewhite,hac_finite_sample_adjust,estimate,std_error,lower_95,upper_95,t_value,df_residual,p_value,n
2021,OLS with Newey-West HAC,7,FALSE,TRUE,0.6957359695189315,0.23813553784687802,0.22474536884944712,1.1667265701884157,2.9215965655923735,134,0.004088183214183318,153
2022,OLS with Newey-West HAC,7,FALSE,TRUE,0.07288184716069604,0.24807465529595177,-0.41776659601221944,0.5635302903336116,0.2937899765445542,134,0.76937295140743,153
2023,OLS with Newey-West HAC,7,FALSE,TRUE,1.0538130050625318,0.14684230959717073,0.7633845027642447,1.344241507360819,7.176494349301872,134,4.411071205859566e-11,153
2024,OLS with Newey-West HAC,7,FALSE,TRUE,0.6883813801800492,0.17151472691574415,0.3491551353948131,1.0276076249652855,4.013540951024069,134,9.901569525101335e-5,153
2025,OLS with Newey-West HAC,7,FALSE,TRUE,0.9256081570446992,0.19287280740419563,0.5441393505261058,1.3070769635632926,4.799059906381412,134,4.1925508623881335e-6,153
2021,OLS with Newey-West HAC,14,FALSE,TRUE,0.6957359695189315,0.20979526426892012,0.28079749192316794,1.110674447114695,3.316261555966878,134,0.0011742322646165686,153
2022,OLS with Newey-West HAC,14,FALSE,TRUE,0.07288184716069604,0.23516396257730743,-0.39223149539853697,0.537995189719929,0.30991928508917255,134,0.7571037935511683,153
2023,OLS with Newey-West HAC,14,FALSE,TRUE,1.0538130050625318,0.12407333937568152,0.8084175585534247,1.299208451571639,8.493468543404742,134,3.366023628436536e-14,153
2024,OLS with Newey-West HAC,14,FALSE,TRUE,0.6883813801800492,0.1642198435611291,0.3635831435958117,1.0131796167642868,4.19182825444482,134,4.994389227238031e-5,153
2025,OLS with Newey-West HAC,14,FALSE,TRUE,0.9256081570446992,0.20906806000364464,0.5121079627761884,1.33910835131321,4.427305428808988,134,1.9616619790156436e-5,153
2021,OLS with Newey-West HAC,21,FALSE,TRUE,0.6957359695189315,0.17676514913044977,0.34612530443661776,1.0453466346012452,3.9359340511487915,134,1.3252477752843882e-4,153
2022,OLS with Newey-West HAC,21,FALSE,TRUE,0.07288184716069604,0.22462033558290048,-0.3713780383453362,0.5171417326667284,0.32446682519445164,134,0.7460905905391283,153
2023,OLS with Newey-West HAC,21,FALSE,TRUE,1.0538130050625318,0.12848513234240053,0.7996918007845002,1.3079342093405635,8.201828381623342,134,1.7070115952233115e-13,153
2024,OLS with Newey-West HAC,21,FALSE,TRUE,0.6883813801800492,0.15950812798591002,0.3729020960252602,1.0038606643348382,4.315650800195314,134,3.068466251443045e-5,153
2025,OLS with Newey-West HAC,21,FALSE,TRUE,0.9256081570446992,0.21035071754604562,0.509571089650023,1.3416452244393755,4.4003090069901205,134,2.1872835239085184e-5,153
