year,timing_term,timing_label,estimate,std_error,lower_95,upper_95,t_value,df_residual,p_value,n
2021,alert_prev_day,Previous-day Alert status (t-1),0.07022136420493001,0.16999574161819844,-0.26609488002194653,0.4065376084318066,0.4130771955608366,130,0.6802305937498048,151
2021,alert,Same-day Alert status (t),0.6182379218015688,0.2566754671761703,0.11043620698127632,1.1260396366218612,2.408636589243017,130,0.017414650999439892,151
2021,alert_next_day,Following-day Alert status (t+1),0.10810175696715081,0.2539509524054224,-0.39430983121634305,0.6105133451506447,0.4256796674444864,130,0.6710451741232246,151
2022,alert_prev_day,Previous-day Alert status (t-1),0.20703319694872077,0.18656986866172356,-0.16207297545845525,0.5761393693558968,1.1096818496672687,130,0.26918462873059773,151
2022,alert,Same-day Alert status (t),-0.049140003003319534,0.2462877516976516,-0.5363908650635519,0.4381108590569129,-0.19952272358084988,130,0.8421656184261584,151
2022,alert_next_day,Following-day Alert status (t+1),0.5529596552951483,0.2756155490266153,0.007687253664373062,1.0982320569259236,2.006271624543762,130,0.046902276175072775,151
2023,alert_prev_day,Previous-day Alert status (t-1),0.3506326118283923,0.0869817935003361,0.1785495359366893,0.5227156877200952,4.031103495549761,130,9.400670087843737e-5,151
2023,alert,Same-day Alert status (t),0.6859330192291806,0.09312765186023961,0.5016910975835918,0.8701749408747694,7.365513953455927,130,1.8062744757760133e-11,151
2023,alert_next_day,Following-day Alert status (t+1),0.6401635226775432,0.2044256089417659,0.2357319035755805,1.0445951417795059,3.1315231295698602,130,0.0021485363067891994,151
2024,alert_prev_day,Previous-day Alert status (t-1),0.1130214073945862,0.06807972875537645,-0.0216661939831979,0.2477090087723703,1.6601330448993685,130,0.09929796722049211,151
2024,alert,Same-day Alert status (t),0.33083092330895925,0.047025211635120634,0.23779716604803786,0.42386468056988064,7.035182018444744,130,1.0203126772818286e-10,151
2024,alert_next_day,Following-day Alert status (t+1),1.1576594796068476,0.1616359732491359,0.8378820373154001,1.477436921898295,7.162140062859035,130,5.264441049605119e-11,151
2025,alert_prev_day,Previous-day Alert status (t-1),0.2165284574089183,0.07455635307566967,0.06902762938242452,0.3640292854354121,2.9042254412465227,130,0.004327572733167512,151
2025,alert,Same-day Alert status (t),0.4867341317655063,0.11315816799360849,0.26286422949067023,0.7106040340403423,4.301361009953771,130,3.307481634152671e-5,151
2025,alert_next_day,Following-day Alert status (t+1),1.0974003933632757,0.16719570306488862,0.7666236905447634,1.428177096181788,6.563568161422036,130,1.1399713952053478e-9,151
