model,hac_lag,estimate,std_error,lower_95,upper_95,p_value,tau2,I2_percent,fit_status,error
"Primary: HAC14, temp spline df=3, season spline df=5, population weather",14,0.7143917468643984,0.1637041097585646,0.25987627262446933,1.1689072211043277,0.012025151723172192,0.09272087953952131,74.14510769672869,success,NA
HAC lag 7,7,0.7185428041965871,0.16287876237859417,0.2663188616498647,1.1707667467433096,0.011586930660367365,0.08604367445186646,70.00815768641179,success,NA
HAC lag 21,21,0.7090893533183273,0.16333772880406588,0.25559111568615384,1.1625875909505008,0.012240941866069117,0.09420762449796961,75.8462455099557,success,NA
Temperature spline df=2,14,0.9073937544697973,0.09124545878692085,0.6540557470493238,1.1607317618902708,5.74234337059401e-4,0.014172757115510725,31.126552473154067,success,NA
Temperature spline df=4,14,0.6163080849438232,0.2423949524150799,-0.05668819421367777,1.2893043641013242,0.06380597769423113,0.26071917663469746,89.99023752531387,success,NA
Season spline df=3,14,0.7319110101507885,0.19046438811928154,0.20309709204251636,1.2607249282590607,0.018415892699097113,0.12181156932462109,70.6549988286527,success,NA
Season spline df=7,14,0.6822665496773295,0.17056360566484857,0.20870606160427385,1.155827037750385,0.01612913603168472,0.10410698282898964,77.52627901612934,success,NA
Building-land-weighted weather,14,0.699743833352466,0.17390039371453236,0.2169189364317834,1.1825687302731487,0.01581428644001325,0.10999807037854935,77.20490147411053,success,NA
Linear maximum temperature,14,1.1853102339898214,0.07915688726160855,0.9655354818096347,1.405084986170008,1.1587097595646232e-4,0,0,success,NA
