acquisition_date,estimate,std_error,lower_95,upper_95,p_value,tau2,I2_percent,fit_status,error
2026-08-02,0.7194554161005298,0.16597535267772662,0.25863396057497806,1.1802768716260814,0.012303994909210681,0.09705397522169303,75.01046843930116,success,NA
2026-08-03,0.7001243301415645,0.16460842584244417,0.24309807193699629,1.1571505883461328,0.013123784799876208,0.09545567449775126,75.47147656897626,success,NA
2026-08-04,0.7100787006411924,0.16608953425972417,0.24894022622119982,1.171217175061185,0.012895938296187225,0.09638671188164466,74.96232992782369,success,NA
2026-08-05,0.7119271960879983,0.1656875306855682,0.25190486252374306,1.1719495296522535,0.012677624043013355,0.09541431413346788,74.41110702196923,success,NA
2026-08-06,0.7205531049375622,0.15907782446300026,0.2788822578617512,1.1622239520133733,0.010580863381115902,0.0857873343952706,72.67372902654424,success,NA
2026-08-07,0.718023556543474,0.16420570388040037,0.26211543375917795,1.17393167932777,0.011942763155653272,0.09119965194124016,73.41067598498873,success,NA
2026-08-08,0.7046226180636517,0.16414350284719464,0.2488871930335379,1.1603580430937654,0.012718680972101834,0.09356222899262279,73.9740800676865,success,NA
2026-08-09,0.7141638571598042,0.16510948077247,0.25574644744733055,1.172581266872278,0.012394577629922915,0.09560216067939743,75.14801521838255,success,NA
2026-08-11,0.7123688136939785,0.1631919249440832,0.25927539247517295,1.1654622349127841,0.01201291664599821,0.09180294628944605,74.11224255105367,success,NA
2026-08-12,0.7167648703233847,0.16596570199341046,0.25597020939306436,1.177559531253705,0.012459656823394151,0.09682736309187151,75.1982355178903,success,NA
