timing_term,timing_label,analysis_role,k,estimate,std_error,lower_95,upper_95,p_value,tau2,Q,Q_p_value,I2_percent,prediction_interval_lower,prediction_interval_upper,timing_order
alert_prev_day,Previous-day Alert status (t-1),Post hoc exploratory mutually adjusted +/-1-day timing model,5,0.20260527255937238,0.04832073675522627,0.06844539951577325,0.33676514560297155,0.013774013839420927,0.004674735779919754,5.26462489402583,0.2612067698081815,33.170166165709446,-0.029848510920937238,0.435059056039682,1
alert,Same-day Alert status (t),Post hoc exploratory mutually adjusted +/-1-day timing model,5,0.4435976318091656,0.11197231773761158,0.13271263830892177,0.7544826253094095,0.01665431068671587,0.035031600784359004,16.1983419057903,0.0027642452480972682,75.1854032293557,-0.16195644361657385,1.049151707234905,2
alert_next_day,Following-day Alert status (t+1),Post hoc exploratory mutually adjusted +/-1-day timing model,5,0.7452909046690245,0.1919605947098332,0.21232285109605042,1.2782589582419985,0.017803159822535095,0.1387637558431051,16.562073360674766,0.002350649917237568,77.12472303144865,-0.4182106273028444,1.9087924366408933,3
