omitted_acquisition_date,n_dates_retained,estimate,std_error,lower_95,upper_95,p_value,fit_status,error
2026-08-02,9,0.7140349753181061,0.16413766803135518,0.25831575033386955,1.1697542003023427,0.012154985464669692,success,NA
2026-08-03,9,0.7146118978444551,0.1636611545644086,0.2602156863430832,1.169008109345827,0.012001730650465914,success,NA
2026-08-04,9,0.7147758061399172,0.16342975954400527,0.2610220502103113,1.168529562069523,0.011934469427699733,success,NA
2026-08-05,9,0.7137190021109834,0.16330596844406,0.2603089453748875,1.1671290588470793,0.011963956621503742,success,NA
2026-08-06,9,0.7148813024409574,0.16492927331345958,0.2569642288459733,1.1727983760359415,0.0123063228567957,success,NA
2026-08-07,9,0.7138794569463874,0.1636710690404859,0.2594557184464401,1.1683031954463348,0.012046349272271384,success,NA
2026-08-08,9,0.7160062922064435,0.1636724452472493,0.2615787327439642,1.1704338516689228,0.011924836770827018,success,NA
2026-08-09,9,0.7142875805236903,0.16303288364015886,0.2616357287546897,1.166939432292691,0.011863337786344444,success,NA
2026-08-11,9,0.7144941576206361,0.1636869749079935,0.26002625735270335,1.1689620578885687,0.012014965380215285,success,NA
2026-08-12,9,0.7131155445583919,0.16350401620083282,0.2591556190974087,1.167075470019375,0.012048385513994384,success,NA
