pooling_model,estimate,std_error,lower_95,upper_95,p_value,tau2,Q,Q_p_value,I2_percent,prediction_interval_lower,prediction_interval_upper,k_years,hac_lag,fit_status,error
Random-effects REML + Knapp-Hartung (PRIMARY),0.7185428041965871,0.16287876237859417,0.2663188616498647,1.1707667467433096,0.011586930660367365,0.08604367445186646,12.580489095199617,0.01351834730602739,70.00815768641179,-0.21300796922937093,1.6500935776225452,5,7,success,NA
Random-effects REML + Knapp-Hartung (PRIMARY),0.7143917468643984,0.1637041097585646,0.25987627262446933,1.1689072211043277,0.012025151723172192,0.09272087953952131,14.814399513658584,0.0051020579339387815,74.14510769672869,-0.24547120448222137,1.6742546982110182,5,14,success,NA
Random-effects REML + Knapp-Hartung (PRIMARY),0.7090893533183273,0.16333772880406588,0.25559111568615384,1.1625875909505008,0.012240941866069117,0.09420762449796961,15.487041888231797,0.003790687107160115,75.8462455099557,-0.25624686441679934,1.6744255710534541,5,21,success,NA
