study_year,n_pairs,median_spearman,min_spearman,max_spearman,period
0,45,0.9952017965992065,0.9930880812140854,0.9968268869844656,All 2021-2025 summer days
2021,45,0.9880109632249676,0.980045745242238,0.9909734725137258,2021
2022,45,0.9931340464435238,0.9901332026005666,0.995695105921044,2022
2023,45,0.9971166560598624,0.9955653683128964,0.9984497388434437,2023
2024,45,0.9958605247827842,0.9935185393565344,0.9970323367005582,2024
2025,45,0.9988476290509688,0.9980615821153301,0.9994444075594281,2025
