study_year,acquisition_date_1,acquisition_date_2,n_days,spearman_rho
2021,2026-08-02,2026-08-03,153,0.9872565744618705
2021,2026-08-02,2026-08-04,153,0.9881591906111988
2021,2026-08-02,2026-08-05,153,0.9875149839308864
2021,2026-08-02,2026-08-06,153,0.98578412147976
2021,2026-08-02,2026-08-07,153,0.9908245559973926
2021,2026-08-02,2026-08-08,153,0.9880275263724304
2021,2026-08-02,2026-08-09,153,0.9871782136550972
2021,2026-08-02,2026-08-11,153,0.9885670775353564
2021,2026-08-02,2026-08-12,153,0.980045745242238
2021,2026-08-03,2026-08-04,153,0.9895202054102114
2021,2026-08-03,2026-08-05,153,0.9889083980847337
2021,2026-08-03,2026-08-06,153,0.9877641651852164
2021,2026-08-03,2026-08-07,153,0.9892006471796438
2021,2026-08-03,2026-08-08,153,0.9909734725137258
2021,2026-08-03,2026-08-09,153,0.9903164407349734
2021,2026-08-03,2026-08-11,153,0.9900429046465008
2021,2026-08-03,2026-08-12,153,0.9849458129730365
2021,2026-08-04,2026-08-05,153,0.9892820532437709
2021,2026-08-04,2026-08-06,153,0.9881914282779051
2021,2026-08-04,2026-08-07,153,0.9896026620071646
2021,2026-08-04,2026-08-08,153,0.9883693353207689
2021,2026-08-04,2026-08-09,153,0.9883481607336402
2021,2026-08-04,2026-08-11,153,0.9897844591013528
2021,2026-08-04,2026-08-12,153,0.9829996669622124
2021,2026-08-05,2026-08-06,153,0.9880109632249676
2021,2026-08-05,2026-08-07,153,0.988515567021698
2021,2026-08-05,2026-08-08,153,0.9870181928268582
2021,2026-08-05,2026-08-09,153,0.9900859929961608
2021,2026-08-05,2026-08-11,153,0.9878766658421011
2021,2026-08-05,2026-08-12,153,0.9840894480921594
2021,2026-08-06,2026-08-07,153,0.986952369280556
2021,2026-08-06,2026-08-08,153,0.9874268397558676
2021,2026-08-06,2026-08-09,153,0.9868224734622166
2021,2026-08-06,2026-08-11,153,0.9839650600681696
2021,2026-08-06,2026-08-12,153,0.9820712077028025
2021,2026-08-07,2026-08-08,153,0.986463557065541
2021,2026-08-07,2026-08-09,153,0.9897451175278876
2021,2026-08-07,2026-08-11,153,0.9877258296706303
2021,2026-08-07,2026-08-12,153,0.9833739413860922
2021,2026-08-08,2026-08-09,153,0.9895588393258207
2021,2026-08-08,2026-08-11,153,0.9884192962036176
2021,2026-08-08,2026-08-12,153,0.9839857944489773
2021,2026-08-09,2026-08-11,153,0.9884743896936538
2021,2026-08-09,2026-08-12,153,0.9844969172072351
2021,2026-08-11,2026-08-12,153,0.9826186661567806
2022,2026-08-02,2026-08-03,153,0.9933603682697572
2022,2026-08-02,2026-08-04,153,0.9917843436564964
2022,2026-08-02,2026-08-05,153,0.9930026106367356
2022,2026-08-02,2026-08-06,153,0.9923476190970005
2022,2026-08-02,2026-08-07,153,0.9943205307578143
2022,2026-08-02,2026-08-08,153,0.9926601465601915
2022,2026-08-02,2026-08-09,153,0.9932992720714799
2022,2026-08-02,2026-08-11,153,0.9924859378965082
2022,2026-08-02,2026-08-12,153,0.9941480460089522
