year,method,hac_lag,hac_prewhite,hac_finite_sample_adjust,estimate,std_error,lower_95,upper_95,t_value,df_residual,p_value,n,n_alert_days,pct_alert_days,analysis_role
2021,OLS with Newey-West HAC,14,FALSE,TRUE,0.6957359695189315,0.20979526426892012,0.28079749192316794,1.110674447114695,3.316261555966878,134,0.0011742322646165686,153,7,4.57516339869281,Primary year-specific inference: HAC lag 14
2022,OLS with Newey-West HAC,14,FALSE,TRUE,0.07288184716069604,0.23516396257730743,-0.39223149539853697,0.537995189719929,0.30991928508917255,134,0.7571037935511683,153,10,6.535947712418301,Primary year-specific inference: HAC lag 14
2023,OLS with Newey-West HAC,14,FALSE,TRUE,1.0538130050625318,0.12407333937568152,0.8084175585534247,1.299208451571639,8.493468543404742,134,3.366023628436536e-14,153,26,16.99346405228758,Primary year-specific inference: HAC lag 14
2024,OLS with Newey-West HAC,14,FALSE,TRUE,0.6883813801800492,0.1642198435611291,0.3635831435958117,1.0131796167642868,4.19182825444482,134,4.994389227238031e-5,153,37,24.183006535947712,Primary year-specific inference: HAC lag 14
2025,OLS with Newey-West HAC,14,FALSE,TRUE,0.9256081570446992,0.20906806000364464,0.5121079627761884,1.33910835131321,4.427305428808988,134,1.9616619790156436e-5,153,40,26.143790849673206,Primary year-specific inference: HAC lag 14
