temperature_adjustment,flexibility_order,estimate,std_error,lower_95,upper_95,p_value,tau2,I2_percent
Linear,1,1.1853102339898214,0.07915688726160855,0.9655354818096347,1.405084986170008,1.1587097595646232e-4,0,0
Spline df=2,2,0.9073937544697973,0.09124545878692085,0.6540557470493238,1.1607317618902708,5.74234337059401e-4,0.014172757115510725,31.126552473154067
Spline df=3 (primary),3,0.7143917468643984,0.1637041097585646,0.25987627262446933,1.1689072211043277,0.012025151723172192,0.09272087953952131,74.14510769672869
Spline df=4,4,0.6163080849438232,0.2423949524150799,-0.05668819421367777,1.2893043641013242,0.06380597769423113,0.26071917663469746,89.99023752531387
