item,value
release_version,1.0.0
google_trends_source_type,zip
google_trends_raw_archive_md5,a4caf3709a688db329c236a48f0c1b48
naro_daily_data_included,FALSE
raw_google_trends_included,FALSE
integrated_weather_analysis_dataset_included,FALSE
