acquisition_date,year,date,gt_z_date_raw,n_sessions_same_acquisition_date,gt_z_date
2026-08-02,2021,2021-05-01,-0.9645119795741122,1,-0.9645119795741118
2026-08-02,2021,2021-05-02,-0.9645119795741122,1,-0.9645119795741118
2026-08-02,2021,2021-05-03,-0.9645119795741122,1,-0.9645119795741118
2026-08-02,2021,2021-05-04,-0.9645119795741122,1,-0.9645119795741118
2026-08-02,2021,2021-05-05,-0.7941058852661389,1,-0.7941058852661386
2026-08-02,2021,2021-05-06,-0.7210747019912932,1,-0.7210747019912929
2026-08-02,2021,2021-05-07,-0.6236997909581656,1,-0.6236997909581653
2026-08-02,2021,2021-05-08,-0.9645119795741122,1,-0.9645119795741118
2026-08-02,2021,2021-05-09,-0.28288760234221905,1,-0.28288760234221877
2026-08-02,2021,2021-05-10,-0.4532936966501923,1,-0.45329369665019204
2026-08-02,2021,2021-05-11,-0.6236997909581656,1,-0.6236997909581653
2026-08-02,2021,2021-05-12,-0.5750123354416018,1,-0.5750123354416015
2026-08-02,2021,2021-05-13,-0.6967309742330113,1,-0.696730974233011
2026-08-02,2021,2021-05-14,-0.40460624113362853,1,-0.40460624113362825
2026-08-02,2021,2021-05-15,-0.35591878561706475,1,-0.35591878561706447
2026-08-02,2021,2021-05-16,-0.6967309742330113,1,-0.696730974233011
2026-08-02,2021,2021-05-17,-0.11248150803424577,1,-0.11248150803424546
2026-08-02,2021,2021-05-18,-0.5019811521667561,1,-0.5019811521667558
2026-08-02,2021,2021-05-19,-0.5506686076833199,1,-0.5506686076833196
2026-08-02,2021,2021-05-20,-0.5263248799250381,1,-0.5263248799250377
2026-08-02,2021,2021-05-21,-0.5993560631998837,1,-0.5993560631998833
2026-08-02,2021,2021-05-22,-0.769762157507857,1,-0.7697621575078567
2026-08-02,2021,2021-05-23,-0.5750123354416018,1,-0.5750123354416015
2026-08-02,2021,2021-05-24,-0.33157505785878283,1,-0.33157505785878255
2026-08-02,2021,2021-05-25,-0.30723133010050097,1,-0.3072313301005007
2026-08-02,2021,2021-05-26,-0.35591878561706475,1,-0.35591878561706447
2026-08-02,2021,2021-05-27,-0.5993560631998837,1,-0.5993560631998833
2026-08-02,2021,2021-05-28,-0.5750123354416018,1,-0.5750123354416015
2026-08-02,2021,2021-05-29,-0.5019811521667561,1,-0.5019811521667558
2026-08-02,2021,2021-05-30,-0.5750123354416018,1,-0.5750123354416015
2026-08-02,2021,2021-05-31,-0.25854387458393713,1,-0.25854387458393685
2026-08-02,2021,2021-06-01,-0.20985641906737335,1,-0.20985641906737304
2026-08-02,2021,2021-06-02,-0.5019811521667561,1,-0.5019811521667558
2026-08-02,2021,2021-06-03,-0.42894996889191045,1,-0.42894996889191017
2026-08-02,2021,2021-06-04,-0.5019811521667561,1,-0.5019811521667558
2026-08-02,2021,2021-06-05,-0.6236997909581656,1,-0.6236997909581653
2026-08-02,2021,2021-06-06,-0.47763742440847423,1,-0.47763742440847395
2026-08-02,2021,2021-06-07,0.009237130757163727,1,0.009237130757164033
2026-08-02,2021,2021-06-08,0.6178303247142112,1,0.6178303247142115
2026-08-02,2021,2021-06-09,0.909955057813594,1,0.9099550578135943
2026-08-02,2021,2021-06-10,1.0803611521215672,1,1.0803611521215675
2026-08-02,2021,2021-06-11,0.6178303247142112,1,0.6178303247142115
2026-08-02,2021,2021-06-12,-0.039450324759400066,1,-0.03945032475939976
2026-08-02,2021,2021-06-13,0.05792458627372752,1,0.057924586273727825
2026-08-02,2021,2021-06-14,-0.30723133010050097,1,-0.3072313301005007
2026-08-02,2021,2021-06-15,-0.11248150803424577,1,-0.11248150803424546
2026-08-02,2021,2021-06-16,-0.3802625133753466,1,-0.38026251337534633
2026-08-02,2021,2021-06-17,-0.30723133010050097,1,-0.3072313301005007
2026-08-02,2021,2021-06-18,-0.40460624113362853,1,-0.40460624113362825
2026-08-02,2021,2021-06-19,-0.6236997909581656,1,-0.6236997909581653
2026-08-02,2021,2021-06-20,-0.35591878561706475,1,-0.35591878561706447
2026-08-02,2021,2021-06-21,-0.18551269130909145,1,-0.18551269130909115
2026-08-02,2021,2021-06-22,-0.18551269130909145,1,-0.18551269130909115
2026-08-02,2021,2021-06-23,-0.40460624113362853,1,-0.40460624113362825
2026-08-02,2021,2021-06-24,-0.4494924632448718,1,-0.4494924632448715
2026-08-02,2021,2021-06-25,-0.514831429867548,1,-0.5148314298675477
2026-08-02,2021,2021-06-26,-0.5026595659884071,1,-0.5026595659884068
2026-08-02,2021,2021-06-27,-0.5436548048528014,1,-0.543654804852801
2026-08-02,2021,2021-06-28,-0.277819291135125,1,-0.2778192911351247
2026-08-02,2021,2021-06-29,-0.11831798290451918,1,-0.11831798290451888
2026-08-02,2021,2021-06-30,-0.4373205993657308,1,-0.43732059936573053
2026-08-02,2021,2021-07-01,-0.38415349662219567,1,-0.3841534966221954
2026-08-02,2021,2021-07-02,-0.5558266687319423,1,-0.555826668731942
2026-08-02,2021,2021-07-03,-0.6743327380981539,1,-0.6743327380981535
2026-08-02,2021,2021-07-04,-0.6211656353546187,1,-0.6211656353546183
2026-08-02,2021,2021-07-05,-0.4494924632448718,1,-0.4494924632448715
2026-08-02,2021,2021-07-06,0.01235995034083326,1,0.012359950340833566
2026-08-02,2021,2021-07-07,-0.14714135788977248,1,-0.14714135788977217
2026-08-02,2021,2021-07-08,-0.34315825775780123,1,-0.34315825775780096
2026-08-02,2021,2021-07-09,-0.3309863938786603,1,-0.33098639387866
2026-08-02,2021,2021-07-10,1.4632561577206247,1,1.463256157720625
2026-08-02,2021,2021-07-11,0.6048902971718907,1,0.604890297171891
2026-08-02,2021,2021-07-12,1.2140721551090607,1,1.214072155109061
2026-08-02,2021,2021-07-13,0.43321712506214405,1,0.4332171250621443
2026-08-02,2021,2021-07-14,0.06552705308436862,1,0.06552705308436893
2026-08-02,2021,2021-07-15,0.41901001971805024,1,0.4190100197180505
2026-08-02,2021,2021-07-16,1.2837112692756516,1,1.2837112692756518
2026-08-02,2021,2021-07-17,1.4566515191871718,1,1.456651519187172
2026-08-02,2021,2021-07-18,2.667233268567814,1,2.6672332685678146
2026-08-02,2021,2021-07-19,4.800163017476565,1,4.800163017476565
2026-08-02,2021,2021-07-20,3.186054018302375,1,3.1860540183023756
2026-08-02,2021,2021-07-21,2.2637060187742666,1,2.263706018774267
2026-08-02,2021,2021-07-22,2.2637060187742666,1,2.263706018774267
