year,date,gt_z_multisession_raw,gt_z_q25_raw,gt_z_q75_raw,gt_z_min_raw,gt_z_max_raw,n_acquisition_dates,aggregate_year_mean,aggregate_year_sd,gt_z,gt_z_q25,gt_z_q75,gt_z_min,gt_z_max
2021,2021-05-01,-0.963062747295593,-0.9671851282376918,-0.9579930731712858,-0.972190302247142,-0.95255497162946,10,0.001363779957318519,0.9984053910674102,-0.9659668666470527,-0.9700958316736652,-0.9608890954634585,-0.9751089997256718,-0.9554423084263695
2021,2021-05-02,-0.963062747295593,-0.9671851282376918,-0.9579930731712858,-0.972190302247142,-0.95255497162946,10,0.001363779957318519,0.9984053910674102,-0.9659668666470527,-0.9700958316736652,-0.9608890954634585,-0.9751089997256718,-0.9554423084263695
2021,2021-05-03,-0.789429065908805,-0.9223638615492883,-0.7657345042066608,-0.967228736633145,-0.7301701922648216,10,0.001363779957318519,0.9984053910674102,-0.7920558652239197,-0.9252029784404867,-0.768323459615801,-0.9701395097185189,-0.7327023459278862
2021,2021-05-04,-0.7361014896635147,-0.7521558377630672,-0.6932499876532507,-0.9645119795741118,-0.6686984173359953,10,0.001363779957318519,0.9984053910674102,-0.7386431165324518,-0.7547231059267283,-0.6957231739984369,-0.9674184135752693,-0.6711323909989511
2021,2021-05-05,-0.9576698108777919,-0.9607511927944119,-0.8016800592644475,-0.972190302247142,-0.7655816313766003,10,0.001363779957318519,0.9984053910674102,-0.9605653168697268,-0.963651620233259,-0.8043264253243062,-0.9751089997256718,-0.7681703426240176
2021,2021-05-06,-0.57217020889753,-0.6063995024494505,-0.5403155298949706,-0.7210747019912929,-0.5189225442611657,10,0.001363779957318519,0.9984053910674102,-0.5744500119752706,-0.6087339750409402,-0.5425444560882945,-0.7235923287395729,-0.5211173025240161
2021,2021-05-07,-0.6170652522113502,-0.6232432541267652,-0.6099155641774796,-0.6449864952738421,-0.5940658375117079,10,0.001363779957318519,0.9984053910674102,-0.619416759666629,-0.6256046288134591,-0.612255652467251,-0.6473825973036241,-0.5963806113190592
2021,2021-05-08,-0.7393664325977285,-0.7542621774947176,-0.6994965277872549,-0.9645119795741118,-0.6458780992435419,10,0.001363779957318519,0.9984053910674102,-0.7419132740891164,-0.7568328098110378,-0.7019796908300676,-0.9674184135752693,-0.6482756253037499
2021,2021-05-09,-0.2843494337105548,-0.3021688863756504,-0.2602739230136738,-0.379989953783195,-0.2222757352392701,10,0.001363779957318519,0.9984053910674102,-0.2861695421760624,-0.30401745528282614,-0.2620555791383213,-0.38196281505732105,-0.22399670233900906
2021,2021-05-10,-0.42265171482465097,-0.4495648439711679,-0.40700024582703986,-0.4910251511707507,-0.32783674043960304,10,0.001363779957318519,0.9984053910674102,-0.42469271357664456,-0.45164882718270566,-0.40901624674499226,-0.49317535295121834,-0.3297263049080377
2021,2021-05-11,-0.6285640909423933,-0.6445779137915943,-0.61441848710842,-0.8136206580406175,-0.5646638535494761,10,0.001363779957318519,0.9984053910674102,-0.6309339638343163,-0.646973363253104,-0.6167657672675388,-0.816286095096726,-0.5669316678084501
2021,2021-05-12,-0.5744385339261066,-0.5931528998630509,-0.5488606237903693,-0.601979958655348,-0.43994478825022076,10,0.001363779957318519,0.9984053910674102,-0.576721959872258,-0.5954662155667676,-0.5511031978297258,-0.6043073725469598,-0.44201340673424216
2021,2021-05-13,-0.6150694205924727,-0.6731734290998976,-0.5812587402617349,-0.696730974233011,-0.5441040863714978,10,0.001363779957318519,0.9984053910674102,-0.6174177403937625,-0.6756145500537194,-0.5835530591397978,-0.6992097202560034,-0.5463390634796637
2021,2021-05-14,-0.4098064297680582,-0.4194914573962374,-0.3765614650509687,-0.4778469099667047,-0.3192015122870583,10,0.001363779957318519,0.9984053910674102,-0.41182691259888776,-0.42152740872483996,-0.3785288504945287,-0.4799760640431757,-0.32107728495101134
2021,2021-05-15,-0.36795436970012974,-0.38913768756653994,-0.3448666783618258,-0.4696782044712289,-0.303509088252717,10,0.001363779957318519,0.9984053910674102,-0.36990800827167475,-0.3911251591964737,-0.34678344229390035,-0.47179431185257253,-0.3053597976710556
2021,2021-05-16,-0.7426134594238658,-0.7521558377630672,-0.7217054866449342,-0.958164226126425,-0.6934968967056694,10,0.001363779957318519,0.9984053910674102,-0.7451654869228892,-0.7547231059267283,-0.7242241208545643,-0.9610605217765278,-0.6959704774030736
2021,2021-05-17,-0.22564465627902963,-0.2446535026931281,-0.19973311633304525,-0.32783674043960304,-0.11248150803424546,10,0.001363779957318519,0.9984053910674102,-0.2273710040704508,-0.24641021057330814,-0.20141807935889453,-0.3297263049080377,-0.11402711665033206
2021,2021-05-18,-0.5525914121092437,-0.5681301847487413,-0.5208921415918846,-0.5959999445924312,-0.453842454355728,10,0.001363779957318519,0.9984053910674102,-0.5548399447986958,-0.5704035352785959,-0.5230900456084792,-0.598317807470069,-0.45593326957737945
2021,2021-05-19,-0.5751169988439311,-0.5962207720819701,-0.564603952775885,-0.6189433641198037,-0.5018513655776815,10,0.001363779957318519,0.9984053910674102,-0.5774015084042418,-0.5985389876555073,-0.5668716713639926,-0.6212978712123565,-0.5040188585089721
